회차,모드,weight_before,weight_after,delta,device_reported,result_timeout,verdict,retry_count
1,trust,-0.98,-0.97,0.010000000000000009,done,False,pass,0
2,trust,-0.99,-0.7,0.29000000000000004,done,False,pass,0
3,trust,-1.29,-1.15,0.14000000000000012,done,False,pass,0
4,trust,-1.08,-1.23,-0.1499999999999999,done,False,pass,0
5,trust,-1.19,-1.02,0.16999999999999993,done,False,pass,0
6,trust,-1.18,-1.03,0.1499999999999999,done,False,pass,0
7,trust,-1.27,-1.04,0.22999999999999998,done,False,pass,0
8,trust,-1.1,-1.29,-0.18999999999999995,done,False,pass,0
9,trust,-1.12,-1.36,-0.24,done,False,pass,0
10,trust,-1.06,-1.13,-0.06999999999999984,done,False,pass,0
11,trust,-0.92,-1.12,-0.20000000000000007,done,False,pass,0
12,trust,-1.11,-1.19,-0.07999999999999985,done,False,pass,0
13,trust,-0.94,-0.85,0.08999999999999997,done,False,pass,0
14,trust,-1.13,-1.1,0.029999999999999805,done,False,pass,0
15,trust,-1.24,-1.05,0.18999999999999995,done,False,pass,0
16,trust,-1.09,-0.97,0.1200000000000001,done,False,pass,0
17,trust,-0.96,-1.09,-0.13000000000000012,done,False,pass,0
18,trust,-0.98,-1.03,-0.050000000000000044,done,False,pass,0
19,trust,-1.05,-1.0,0.050000000000000044,done,False,pass,0
20,trust,-1.2,-1.11,0.08999999999999986,done,False,pass,0
1,verify,-1.25,-1.1,0.1499999999999999,done,False,fail,2
2,verify,-1.26,-1.21,0.050000000000000044,done,False,fail,2
3,verify,-1.09,-1.22,-0.1299999999999999,done,False,fail,2
4,verify,-1.13,-1.2,-0.07000000000000006,done,False,fail,2
5,verify,-1.32,-1.09,0.22999999999999998,done,False,fail,2
6,verify,-0.97,-1.18,-0.20999999999999996,done,False,fail,2
7,verify,-1.21,-1.14,0.07000000000000006,done,False,fail,2
8,verify,-1.22,-1.12,0.09999999999999987,done,False,fail,2
9,verify,-1.23,-1.12,0.10999999999999988,done,False,fail,2
10,verify,-1.24,-1.15,0.09000000000000008,done,False,fail,2
11,verify,-1.21,-1.13,0.08000000000000007,done,False,fail,2
12,verify,-1.11,-1.3,-0.18999999999999995,done,False,fail,2
13,verify,-1.37,-1.3,0.07000000000000006,done,False,fail,2
14,verify,-1.17,-1.23,-0.06000000000000005,done,False,fail,2
15,verify,-1.21,-1.18,0.030000000000000027,done,False,fail,2
16,verify,-1.41,-1.37,0.039999999999999813,done,False,fail,2
17,verify,-1.4,-1.16,0.24,done,False,fail,2
18,verify,-1.23,-1.4,-0.16999999999999993,done,False,fail,2
19,verify,-1.37,-1.43,-0.05999999999999983,done,False,fail,2
20,verify,-1.29,-1.29,0.0,done,False,fail,2
